Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Group,Income To Age Ratio
35,No,Travel_Rarely,809,Research & Development,16 KM,Bachelor’s Degree,Medical,14,Low,Male,84,4,1,Laboratory Technician,Medium,Married,2426,16479,0,No,13,High,High,,6,5,Better,5,4,0,3,30s,69.31428571428572
29,No,Travel_Rarely,153,Research & Development,15 KM,Associate’s Degree,Life Sciences,15,Very High,Female,49,2,2,Laboratory Technician,High,Single,4193,12682,0,Yes,12,High,Very High,,10,3,Better,9,5,0,8,20s,144.58620689655172
31,No,Travel_Rarely,670,Research & Development,26 KM,High School,Life Sciences,16,Low,Male,31,3,1,Research Scientist,High,Divorced,2911,15170,1,No,17,High,Very High,,5,1,Good,5,2,4,3,30s,93.90322580645162
34,No,Travel_Rarely,1346,Research & Development,19 KM,Associate’s Degree,Medical,18,Medium,Male,93,3,1,Laboratory Technician,Very High,Divorced,2661,8758,0,No,11,High,High,,3,2,Better,2,2,1,2,30s,78.26470588235294
28,Yes,Travel_Rarely,103,Research & Development,24 KM,Bachelor’s Degree,Life Sciences,19,High,Male,50,2,1,Laboratory Technician,High,Single,2028,12947,5,Yes,14,High,Medium,,6,4,Better,4,2,0,3,20s,72.42857142857143
29,No,Travel_Rarely,1389,Research & Development,21 KM,Master’s Degree,Life Sciences,20,Medium,Female,51,4,3,Manufacturing Director,Low,Divorced,9980,10195,1,No,11,High,High,,10,1,Better,10,9,8,8,20s,344.13793103448273
32,No,Travel_Rarely,334,Research & Development,5 KM,Associate’s Degree,Life Sciences,21,Low,Male,80,4,1,Research Scientist,Medium,Divorced,3298,15053,0,Yes,12,High,Very High,,7,5,Good,6,2,0,5,30s,103.0625
22,No,Non-Travel,1123,Research & Development,16 KM,Associate’s Degree,Medical,22,Very High,Male,96,4,1,Laboratory Technician,Very High,Divorced,2935,7324,1,Yes,13,High,Medium,,1,2,Good,1,0,0,0,20s,133.4090909090909
53,No,Travel_Rarely,1219,Sales,2 KM,Master’s Degree,Life Sciences,23,Low,Female,78,2,4,Manager,Very High,Married,15427,22021,2,No,16,High,High,,31,3,Better,25,8,3,7,50s,291.07547169811323
38,No,Travel_Rarely,371,Research & Development,2 KM,Bachelor’s Degree,Life Sciences,24,Very High,Male,45,3,1,Research Scientist,Very High,Single,3944,4306,5,Yes,11,High,High,,6,3,Better,3,2,1,2,30s,103.78947368421052
24,No,Non-Travel,673,Research & Development,11 KM,Associate’s Degree,Other,26,Low,Female,96,4,2,Manufacturing Director,High,Divorced,4011,8232,0,No,18,High,Very High,,5,5,Good,4,2,1,3,20s,167.125
36,Yes,Travel_Rarely,1218,Sales,9 KM,Master’s Degree,Life Sciences,27,High,Male,82,2,1,Sales Representative,Low,Single,3407,6986,7,No,23,Very High,Medium,,10,4,Better,5,3,0,3,30s,94.63888888888889
34,No,Travel_Rarely,419,Research & Development,7 KM,Master’s Degree,Life Sciences,28,Low,Female,53,3,3,Research Director,Medium,Single,11994,21293,0,No,11,High,High,,13,4,Better,12,6,2,11,30s,352.7647058823529
21,No,Travel_Rarely,391,Research & Development,15 KM,Associate’s Degree,Life Sciences,30,High,Male,96,3,1,Research Scientist,Very High,Single,1232,19281,1,No,14,High,Very High,,0,6,Better,0,0,0,0,20s,58.666666666666664
34,Yes,Travel_Rarely,699,Research & Development,6 KM,High School,Medical,31,Medium,Male,83,3,1,Research Scientist,Low,Single,2960,17102,2,No,11,High,High,,8,2,Better,4,2,1,3,30s,87.05882352941177
53,No,Travel_Rarely,1282,Research & Development,5 KM,Bachelor’s Degree,Other,32,High,Female,58,3,5,Manager,High,Divorced,19094,10735,4,No,11,High,Very High,,26,3,Good,14,13,4,8,50s,360.2641509433962
32,Yes,Travel_Frequently,1125,Research & Development,16 KM,High School,Life Sciences,33,Medium,Female,72,1,1,Research Scientist,Low,Single,3919,4681,1,Yes,22,Very High,Medium,,10,5,Better,10,2,6,7,30s,122.46875
42,No,Travel_Rarely,691,Sales,8 KM,Master’s Degree,Marketing,35,High,Male,48,3,2,Sales Executive,Medium,Married,6825,21173,0,No,11,High,Very High,,10,2,Better,9,7,4,2,40s,162.5
44,No,Travel_Rarely,477,Research & Development,7 KM,Master’s Degree,Medical,36,Low,Female,42,2,3,Healthcare Representative,Very High,Married,10248,2094,3,No,14,High,Very High,,24,4,Better,22,6,5,17,40s,232.9090909090909
46,No,Travel_Rarely,705,Sales,2 KM,Master’s Degree,Marketing,38,Medium,Female,83,3,5,Manager,Low,Single,18947,22822,3,No,12,High,Very High,,22,2,Good,2,2,2,1,40s,411.89130434782606
33,No,Travel_Rarely,924,Research & Development,2 KM,Bachelor’s Degree,Medical,39,High,Male,78,3,1,Laboratory Technician,Very High,Single,2496,6670,4,No,11,High,Very High,,7,3,Better,1,1,0,0,30s,75.63636363636364
44,No,Travel_Rarely,1459,Research & Development,10 KM,Master’s Degree,Other,40,Very High,Male,41,3,2,Healthcare Representative,Very High,Married,6465,19121,2,Yes,13,High,Very High,,9,5,Best,4,2,1,3,40s,146.9318181818182
30,No,Travel_Rarely,125,Research & Development,9 KM,Associate’s Degree,Medical,41,Very High,Male,83,2,1,Laboratory Technician,High,Single,2206,16117,1,No,13,High,Low,,10,5,Better,10,0,1,8,20s,73.53333333333333
39,Yes,Travel_Rarely,895,Sales,5 KM,Bachelor’s Degree,Technical Degree,42,Very High,Male,56,3,2,Sales Representative,Very High,Married,2086,3335,3,No,14,High,High,,19,6,Best,1,0,0,0,30s,53.48717948717949
24,Yes,Travel_Rarely,813,Research & Development,1 KM,Bachelor’s Degree,Medical,45,Medium,Male,61,3,1,Research Scientist,Very High,Married,2293,3020,2,Yes,16,High,Low,,6,2,Good,2,0,2,0,20s,95.54166666666667
43,No,Travel_Rarely,1273,Research & Development,2 KM,Associate’s Degree,Medical,46,Very High,Female,72,4,1,Research Scientist,High,Divorced,2645,21923,1,No,12,High,Very High,,6,3,Good,5,3,1,4,40s,61.51162790697674
50,Yes,Travel_Rarely,869,Sales,3 KM,Associate’s Degree,Marketing,47,Low,Male,86,2,1,Sales Representative,High,Married,2683,3810,1,Yes,14,High,High,,3,2,Better,3,2,0,2,40s,53.66
35,No,Travel_Rarely,890,Sales,2 KM,Bachelor’s Degree,Marketing,49,Very High,Female,97,3,1,Sales Representative,Very High,Married,2014,9687,1,No,13,High,Low,,2,3,Better,2,2,2,2,30s,57.542857142857144
36,No,Travel_Rarely,852,Research & Development,5 KM,Master’s Degree,Life Sciences,51,Medium,Female,82,2,1,Research Scientist,Low,Married,3419,13072,9,Yes,14,High,Very High,,6,3,Best,1,1,0,0,30s,94.97222222222223
33,No,Travel_Frequently,1141,Sales,1 KM,Bachelor’s Degree,Life Sciences,52,High,Female,42,4,2,Sales Executive,Low,Married,5376,3193,2,No,19,High,Low,,10,3,Better,5,3,1,3,30s,162.9090909090909
35,No,Travel_Rarely,464,Research & Development,4 KM,Associate’s Degree,Other,53,High,Male,75,3,1,Laboratory Technician,Very High,Divorced,1951,10910,1,No,12,High,High,,1,3,Better,1,0,0,0,30s,55.74285714285714
27,No,Travel_Rarely,1240,Research & Development,2 KM,Master’s Degree,Life Sciences,54,Very High,Female,33,3,1,Laboratory Technician,Low,Divorced,2341,19715,1,No,13,High,Very High,,1,6,Better,1,0,0,0,20s,86.70370370370371
26,Yes,Travel_Rarely,1357,Research & Development,25 KM,Bachelor’s Degree,Life Sciences,55,Low,Male,48,1,1,Laboratory Technician,High,Single,2293,10558,1,No,12,High,High,,1,2,Good,1,0,0,1,20s,88.1923076923077
27,No,Travel_Frequently,994,Sales,8 KM,Bachelor’s Degree,Life Sciences,56,Very High,Male,37,3,3,Sales Executive,High,Single,8726,2975,1,No,15,High,Very High,,9,0,Better,9,8,1,7,20s,323.18518518518516
30,No,Travel_Frequently,721,Research & Development,1 KM,Associate’s Degree,Medical,57,High,Female,58,3,2,Laboratory Technician,Very High,Single,4011,10781,1,No,23,Very High,Very High,,12,2,Better,12,8,3,7,20s,133.7
41,Yes,Travel_Rarely,1360,Research & Development,12 KM,Bachelor’s Degree,Technical Degree,58,Medium,Female,49,3,5,Research Director,High,Married,19545,16280,1,No,12,High,Very High,,23,0,Better,22,15,15,8,40s,476.7073170731707
34,No,Non-Travel,1065,Sales,23 KM,Master’s Degree,Marketing,60,Medium,Male,72,3,2,Sales Executive,High,Single,4568,10034,0,No,20,Very High,High,,10,2,Better,9,5,8,7,30s,134.35294117647058
37,No,Travel_Rarely,408,Research & Development,19 KM,Associate’s Degree,Life Sciences,61,Medium,Male,73,3,1,Research Scientist,Medium,Married,3022,10227,4,No,21,Very High,Low,,8,1,Better,1,0,0,0,30s,81.67567567567568
46,No,Travel_Frequently,1211,Sales,5 KM,Master’s Degree,Marketing,62,Low,Male,98,3,2,Sales Executive,Very High,Single,5772,20445,4,Yes,21,Very High,High,,14,4,Better,9,6,0,8,40s,125.47826086956522
35,No,Travel_Rarely,1229,Research & Development,8 KM,High School,Life Sciences,63,Very High,Male,36,4,1,Laboratory Technician,Very High,Married,2269,4892,1,No,19,High,Very High,,1,2,Better,1,0,0,1,30s,64.82857142857142
48,Yes,Travel_Rarely,626,Research & Development,1 KM,Associate’s Degree,Life Sciences,64,Low,Male,98,2,3,Laboratory Technician,High,Single,5381,19294,9,Yes,13,High,Very High,,23,2,Better,1,0,0,0,40s,112.10416666666667
28,Yes,Travel_Rarely,1434,Research & Development,5 KM,Master’s Degree,Technical Degree,65,High,Male,50,3,1,Laboratory Technician,High,Single,3441,11179,1,Yes,13,High,High,,2,3,Good,2,2,2,2,20s,122.89285714285714
44,No,Travel_Rarely,1488,Sales,1 KM,Doctorate,Marketing,68,Medium,Female,75,3,2,Sales Executive,Low,Divorced,5454,4009,5,Yes,21,Very High,High,,9,2,Good,4,3,1,3,40s,123.95454545454545
35,No,Non-Travel,1097,Research & Development,11 KM,Associate’s Degree,Medical,70,High,Male,79,2,3,Healthcare Representative,Low,Married,9884,8302,2,Yes,13,High,High,,10,3,Better,4,0,2,3,30s,282.4
26,No,Travel_Rarely,1443,Sales,23 KM,Bachelor’s Degree,Marketing,72,High,Female,47,2,2,Sales Executive,Very High,Married,4157,21436,7,Yes,19,High,High,,5,2,Good,2,2,0,0,20s,159.8846153846154
33,No,Travel_Frequently,515,Research & Development,1 KM,Associate’s Degree,Life Sciences,73,Low,Female,98,3,3,Research Director,Very High,Single,13458,15146,1,Yes,12,High,High,,15,1,Better,15,14,8,12,30s,407.8181818181818
35,No,Travel_Frequently,853,Sales,18 KM,Doctorate,Life Sciences,74,Medium,Male,71,3,3,Sales Executive,Low,Married,9069,11031,1,No,22,Very High,Very High,,9,3,Good,9,8,1,8,30s,259.1142857142857
35,No,Travel_Rarely,1142,Research & Development,23 KM,Master’s Degree,Medical,75,High,Female,30,3,1,Laboratory Technician,Low,Married,4014,16002,3,Yes,15,High,High,,4,3,Better,2,2,2,2,30s,114.68571428571428
31,No,Travel_Rarely,655,Research & Development,7 KM,Master’s Degree,Life Sciences,76,Very High,Male,48,3,2,Laboratory Technician,Very High,Divorced,5915,9528,3,No,22,Very High,Very High,,10,3,Good,7,7,1,7,30s,190.80645161290323
37,No,Travel_Rarely,1115,Research & Development,1 KM,Master’s Degree,Life Sciences,77,Low,Male,51,2,2,Manufacturing Director,High,Divorced,5993,2689,1,No,18,High,High,,7,2,Best,7,5,0,7,30s,161.97297297297297
32,No,Travel_Rarely,427,Research & Development,1 KM,Bachelor’s Degree,Medical,78,Low,Male,33,3,2,Manufacturing Director,Very High,Married,6162,10877,1,Yes,22,Very High,Medium,,9,3,Better,9,8,7,8,30s,192.5625
38,No,Travel_Frequently,653,Research & Development,29 KM,Doctorate,Life Sciences,79,Very High,Female,50,3,2,Laboratory Technician,Very High,Single,2406,5456,1,No,11,High,Very High,,10,2,Better,10,3,9,9,30s,63.31578947368421
50,No,Travel_Rarely,989,Research & Development,7 KM,Associate’s Degree,Medical,80,Medium,Female,43,2,5,Research Director,High,Divorced,18740,16701,5,Yes,12,High,Very High,,29,2,Good,27,3,13,8,40s,374.8
59,No,Travel_Rarely,1435,Sales,25 KM,Bachelor’s Degree,Life Sciences,81,Low,Female,99,3,3,Sales Executive,Low,Single,7637,2354,7,No,11,High,Very High,,28,3,Good,21,16,7,9,50s,129.4406779661017
36,No,Travel_Rarely,1223,Research & Development,8 KM,Bachelor’s Degree,Technical Degree,83,High,Female,59,3,3,Healthcare Representative,High,Divorced,10096,8202,1,No,13,High,Medium,,17,2,Better,17,14,12,8,30s,280.44444444444446
55,No,Travel_Rarely,836,Research & Development,8 KM,Bachelor’s Degree,Medical,84,Very High,Female,33,3,4,Manager,High,Divorced,14756,19730,2,Yes,14,High,High,,21,2,Better,5,0,0,2,50s,268.2909090909091
36,No,Travel_Frequently,1195,Research & Development,11 KM,Bachelor’s Degree,Life Sciences,85,Medium,Male,95,2,2,Manufacturing Director,Medium,Single,6499,22656,1,No,13,High,High,,6,3,Better,6,5,0,3,30s,180.52777777777777
45,No,Travel_Rarely,1339,Research & Development,7 KM,Bachelor’s Degree,Life Sciences,86,Medium,Male,59,3,3,Research Scientist,Low,Divorced,9724,18787,2,No,17,High,High,,25,2,Better,1,0,0,0,40s,216.0888888888889
35,No,Travel_Frequently,664,Research & Development,1 KM,Bachelor’s Degree,Medical,88,Medium,Male,79,3,1,Research Scientist,Low,Married,2194,5868,4,No,13,High,Very High,,5,2,Good,3,2,1,2,30s,62.68571428571428
36,Yes,Travel_Rarely,318,Research & Development,9 KM,Bachelor’s Degree,Medical,90,Very High,Male,79,2,1,Research Scientist,High,Married,3388,21777,0,Yes,17,High,Low,,2,0,Good,1,0,0,0,30s,94.11111111111111
59,No,Travel_Frequently,1225,Sales,1 KM,High School,Life Sciences,91,Low,Female,57,2,2,Sales Executive,High,Single,5473,24668,7,No,11,High,Very High,,20,2,Good,4,3,1,3,50s,92.76271186440678
29,No,Travel_Rarely,1328,Research & Development,2 KM,Bachelor’s Degree,Life Sciences,94,High,Male,76,3,1,Research Scientist,Medium,Married,2703,4956,0,No,23,Very High,Very High,,6,3,Better,5,4,0,4,20s,93.20689655172414
31,No,Travel_Rarely,1082,Research & Development,1 KM,Master’s Degree,Medical,95,High,Male,87,3,1,Research Scientist,Medium,Single,2501,18775,1,No,17,High,Medium,,1,4,Better,1,1,1,0,30s,80.6774193548387
32,No,Travel_Rarely,548,Research & Development,1 KM,Bachelor’s Degree,Life Sciences,96,Medium,Male,66,3,2,Research Scientist,Medium,Married,6220,7346,1,No,17,High,Medium,,10,3,Better,10,4,0,9,30s,194.375
36,No,Travel_Rarely,132,Research & Development,6 KM,Bachelor’s Degree,Life Sciences,97,Medium,Female,55,4,1,Laboratory Technician,Very High,Married,3038,22002,3,No,12,High,Medium,,5,3,Better,1,0,0,0,30s,84.38888888888889
31,No,Travel_Rarely,746,Research & Development,8 KM,Master’s Degree,Life Sciences,98,High,Female,61,3,2,Manufacturing Director,Very High,Single,4424,20682,1,No,23,Very High,Very High,,11,2,Better,11,7,1,8,30s,142.70967741935485
35,No,Travel_Rarely,776,Sales,1 KM,Master’s Degree,Marketing,100,High,Male,32,2,2,Sales Executive,Low,Single,4312,23016,0,No,14,High,Medium,,16,2,Better,15,13,2,8,30s,123.2
45,No,Travel_Rarely,193,Research & Development,6 KM,Master’s Degree,Other,101,Very High,Male,52,3,3,Research Director,Low,Married,13245,15067,4,Yes,14,High,Medium,,17,3,Best,0,0,0,0,40s,294.3333333333333
37,No,Travel_Rarely,397,Research & Development,7 KM,Master’s Degree,Medical,102,Low,Male,30,3,3,Research Director,High,Single,13664,25258,4,No,13,High,Low,,16,3,Best,5,2,0,2,30s,369.2972972972973
46,No,Travel_Rarely,945,Human Resources,5 KM,Associate’s Degree,Medical,103,Medium,Male,80,3,2,Human Resources,Medium,Divorced,5021,10425,8,Yes,22,Very High,Very High,,16,2,Better,4,2,0,2,40s,109.15217391304348
30,No,Travel_Rarely,852,Research & Development,1 KM,High School,Life Sciences,104,Very High,Male,55,2,2,Laboratory Technician,Very High,Married,5126,15998,1,Yes,12,High,High,,10,1,Good,10,8,3,0,20s,170.86666666666667
35,No,Travel_Rarely,1214,Research & Development,1 KM,Bachelor’s Degree,Medical,105,Medium,Male,30,2,1,Research Scientist,High,Single,2859,26278,1,No,18,High,Low,,6,3,Better,6,4,0,4,30s,81.68571428571428
55,No,Travel_Rarely,111,Sales,1 KM,Associate’s Degree,Life Sciences,106,Low,Male,70,3,3,Sales Executive,Very High,Married,10239,18092,3,No,14,High,Very High,,24,4,Better,1,0,1,0,50s,186.16363636363636
38,No,Non-Travel,573,Research & Development,6 KM,Bachelor’s Degree,Medical,107,Medium,Female,79,1,2,Research Scientist,Very High,Divorced,5329,15717,7,Yes,12,High,Very High,,17,3,Better,13,11,1,9,30s,140.23684210526315
34,No,Travel_Rarely,1153,Research & Development,1 KM,Associate’s Degree,Medical,110,Low,Male,94,3,2,Manufacturing Director,Medium,Married,4325,17736,1,No,15,High,High,,5,2,Better,5,2,1,3,30s,127.20588235294117
56,No,Travel_Rarely,1400,Research & Development,7 KM,Bachelor’s Degree,Life Sciences,112,Very High,Male,49,1,3,Manufacturing Director,Very High,Single,7260,21698,4,No,11,High,Low,,37,3,Good,6,4,0,2,50s,129.64285714285714
23,No,Travel_Rarely,541,Sales,2 KM,High School,Technical Degree,113,High,Male,62,3,1,Sales Representative,Low,Divorced,2322,9518,3,No,13,High,High,,3,3,Better,0,0,0,0,20s,100.95652173913044
51,No,Travel_Rarely,432,Research & Development,9 KM,Master’s Degree,Life Sciences,116,Very High,Male,96,3,1,Laboratory Technician,Very High,Married,2075,18725,3,No,23,Very High,Medium,,10,4,Better,4,2,0,3,50s,40.68627450980392
30,No,Travel_Rarely,288,Research & Development,2 KM,Bachelor’s Degree,Life Sciences,117,High,Male,99,2,2,Healthcare Representative,Very High,Married,4152,15830,1,No,19,High,Low,,11,3,Better,11,10,10,8,20s,138.4
46,Yes,Travel_Rarely,669,Sales,9 KM,Associate’s Degree,Medical,118,High,Male,64,2,3,Sales Executive,Very High,Single,9619,13596,1,No,16,High,Very High,,9,3,Better,9,8,4,7,40s,209.1086956521739
40,No,Travel_Frequently,530,Research & Development,1 KM,Master’s Degree,Life Sciences,119,High,Male,78,2,4,Healthcare Representative,Medium,Married,13503,14115,1,No,22,Very High,Very High,,22,3,Good,22,3,11,11,30s,337.575
51,No,Travel_Rarely,632,Sales,21 KM,Master’s Degree,Marketing,120,High,Male,71,3,2,Sales Executive,Very High,Single,5441,8423,0,Yes,22,Very High,Very High,,11,2,Bad,10,7,1,0,50s,106.68627450980392
30,No,Travel_Rarely,1334,Sales,4 KM,Associate’s Degree,Medical,121,High,Female,63,2,2,Sales Executive,Medium,Divorced,5209,19760,1,Yes,12,High,Medium,,11,4,Good,11,8,2,7,20s,173.63333333333333
46,No,Travel_Frequently,638,Research & Development,1 KM,Bachelor’s Degree,Medical,124,High,Male,40,2,3,Healthcare Representative,Low,Married,10673,3142,2,Yes,13,High,High,,21,5,Good,10,9,9,5,40s,232.02173913043478
32,No,Travel_Rarely,1093,Sales,6 KM,Master’s Degree,Medical,125,Medium,Male,87,3,2,Sales Executive,High,Single,5010,24301,1,No,16,High,Low,,12,0,Better,11,8,5,7,30s,156.5625
54,No,Travel_Rarely,1217,Research & Development,2 KM,Master’s Degree,Technical Degree,126,Low,Female,60,3,3,Research Director,High,Married,13549,24001,9,No,12,High,Low,,16,5,Bad,4,3,0,3,50s,250.90740740740742
24,No,Travel_Rarely,1353,Sales,3 KM,Associate’s Degree,Other,128,Low,Female,33,3,2,Sales Executive,High,Married,4999,17519,0,No,21,Very High,Low,,4,2,Good,3,2,0,2,20s,208.29166666666666
28,No,Non-Travel,120,Sales,4 KM,Bachelor’s Degree,Medical,129,Medium,Male,43,3,2,Sales Executive,High,Married,4221,8863,1,No,15,High,Medium,,5,3,Best,5,4,0,4,20s,150.75
58,No,Travel_Rarely,682,Sales,10 KM,Master’s Degree,Medical,131,Very High,Male,37,3,4,Sales Executive,High,Single,13872,24409,0,No,13,High,High,,38,1,Good,37,10,1,8,50s,239.17241379310346
44,No,Non-Travel,489,Research & Development,23 KM,Bachelor’s Degree,Medical,132,Medium,Male,67,3,2,Laboratory Technician,Medium,Married,2042,25043,4,No,12,High,High,,17,3,Best,3,2,1,2,40s,46.40909090909091
37,Yes,Travel_Rarely,807,Human Resources,6 KM,Master’s Degree,Human Resources,133,High,Male,63,3,1,Human Resources,Low,Divorced,2073,23648,4,Yes,22,Very High,Very High,,7,3,Better,3,2,0,2,30s,56.027027027027025
32,No,Travel_Rarely,827,Research & Development,1 KM,High School,Life Sciences,134,Very High,Male,71,3,1,Research Scientist,Low,Single,2956,15178,1,No,13,High,Very High,,1,2,Better,1,0,0,0,30s,92.375
20,Yes,Travel_Frequently,871,Research & Development,6 KM,Bachelor’s Degree,Life Sciences,137,Very High,Female,66,2,1,Laboratory Technician,Very High,Single,2926,19783,1,Yes,18,High,Medium,,1,5,Better,1,0,1,0,20s,146.3
34,No,Travel_Rarely,665,Research & Development,6 KM,Master’s Degree,Other,138,Low,Female,41,3,2,Research Scientist,High,Single,4809,12482,1,No,14,High,High,,16,3,Better,16,13,2,10,30s,141.44117647058823
37,No,Non-Travel,1040,Research & Development,2 KM,Associate’s Degree,Life Sciences,139,High,Male,100,2,2,Healthcare Representative,Very High,Divorced,5163,15850,5,No,14,High,Very High,,17,2,Best,1,0,0,0,30s,139.54054054054055
59,No,Non-Travel,1420,Human Resources,2 KM,Master’s Degree,Human Resources,140,High,Female,32,2,5,Manager,Very High,Married,18844,21922,9,No,21,Very High,Very High,,30,3,Better,3,2,2,2,50s,319.3898305084746
50,No,Travel_Frequently,1115,Research & Development,1 KM,Bachelor’s Degree,Life Sciences,141,Low,Female,73,3,5,Research Director,Medium,Married,18172,9755,3,Yes,19,High,Low,,28,1,Good,8,3,0,7,40s,363.44
25,Yes,Travel_Rarely,240,Sales,5 KM,Bachelor’s Degree,Marketing,142,High,Male,46,2,2,Sales Executive,High,Single,5744,26959,1,Yes,11,High,Very High,,6,1,Better,6,4,0,3,20s,229.76
25,No,Travel_Rarely,1280,Research & Development,7 KM,High School,Medical,143,Very High,Male,64,2,1,Research Scientist,Very High,Married,2889,26897,1,No,11,High,High,,2,2,Better,2,2,2,1,20s,115.56
22,No,Travel_Rarely,534,Research & Development,15 KM,Bachelor’s Degree,Medical,144,Medium,Female,59,3,1,Laboratory Technician,Very High,Single,2871,23785,1,No,15,High,High,,1,5,Better,0,0,0,0,20s,130.5
51,No,Travel_Frequently,1456,Research & Development,1 KM,Master’s Degree,Medical,145,Low,Female,30,2,3,Healthcare Representative,Low,Single,7484,25796,3,No,20,Very High,High,,23,1,Good,13,12,12,8,50s,146.7450980392157
34,Yes,Travel_Frequently,658,Research & Development,7 KM,Bachelor’s Degree,Life Sciences,147,Low,Male,66,1,2,Laboratory Technician,High,Single,6074,22887,1,Yes,24,Very High,Very High,,9,3,Better,9,7,0,6,30s,178.64705882352942
54,No,Non-Travel,142,Human Resources,26 KM,Bachelor’s Degree,Human Resources,148,Very High,Female,30,4,4,Manager,Very High,Single,17328,13871,2,Yes,12,High,High,,23,3,Better,5,3,4,4,50s,320.8888888888889
24,No,Travel_Rarely,1127,Research & Development,18 KM,High School,Life Sciences,150,Medium,Male,52,3,1,Laboratory Technician,High,Married,2774,13257,0,No,12,High,High,,6,2,Better,5,3,1,2,20s,115.58333333333333
34,No,Travel_Rarely,1031,Research & Development,6 KM,Master’s Degree,Life Sciences,151,High,Female,45,2,2,Research Scientist,Medium,Divorced,4505,15000,6,No,15,High,High,,12,3,Better,1,0,0,0,30s,132.5
37,No,Travel_Rarely,1189,Sales,3 KM,Bachelor’s Degree,Life Sciences,152,High,Male,87,3,3,Sales Executive,Very High,Single,7428,14506,2,No,12,High,Low,,12,3,Better,5,3,1,3,30s,200.75675675675674
34,No,Travel_Rarely,1354,Research & Development,5 KM,Bachelor’s Degree,Medical,153,High,Female,45,2,3,Manager,Low,Single,11631,5615,2,No,12,High,Very High,,14,6,Better,11,10,5,8,30s,342.0882352941176
36,No,Travel_Frequently,1467,Sales,11 KM,Associate’s Degree,Technical Degree,154,Medium,Female,92,3,3,Sales Executive,Very High,Married,9738,22952,0,No,14,High,High,,10,6,Better,9,7,2,8,30s,270.5
